commit,step,label,p50,p95,p99
6eb4b16e6248bdd59d4014cd2609b5426a3c5734,9,nanvix-bench::read_exact(),23,26,27
6eb4b16e6248bdd59d4014cd2609b5426a3c5734,10,Total,400,407,410
72b220b7d4d974db02a3bd6237eced4273d11860,0,nanvix-bench::write_all(),,,
72b220b7d4d974db02a3bd6237eced4273d11860,1,linuxd::worker_thread::handle_read_request(),182,187,192
72b220b7d4d974db02a3bd6237eced4273d11860,2,uservm::io_thread::system_vm::read(),12,13,14
72b220b7d4d974db02a3bd6237eced4273d11860,3,uservm::memory_thread::data_rx::recv(),2,3,3
72b220b7d4d974db02a3bd6237eced4273d11860,4,uservm::lib::vm_input::vmexit(),113,116,116
72b220b7d4d974db02a3bd6237eced4273d11860,5,uservm::lib::vm_input::vm_write_bytes(),0,1,1
72b220b7d4d974db02a3bd6237eced4273d11860,6,uservm::lib::vm_output::send(),30,31,31
72b220b7d4d974db02a3bd6237eced4273d11860,7,uservm::io_thread::system_vm::write(),11,12,12
72b220b7d4d974db02a3bd6237eced4273d11860,8,linuxd::worker_thread::handle_write_request(),25,26,28
72b220b7d4d974db02a3bd6237eced4273d11860,9,nanvix-bench::read_exact(),24,27,28
72b220b7d4d974db02a3bd6237eced4273d11860,10,Total,400,405,407
7b080327161503abd420d94cedd20ca1ec89005c,0,nanvix-bench::write_all(),,,
7b080327161503abd420d94cedd20ca1ec89005c,1,linuxd::worker_thread::handle_read_request(),181,188,192
7b080327161503abd420d94cedd20ca1ec89005c,2,uservm::io_thread::system_vm::read(),13,13,14
7b080327161503abd420d94cedd20ca1ec89005c,3,uservm::memory_thread::data_rx::recv(),2,3,3
7b080327161503abd420d94cedd20ca1ec89005c,4,uservm::lib::vm_input::vmexit(),112,114,115
7b080327161503abd420d94cedd20ca1ec89005c,5,uservm::lib::vm_input::vm_write_bytes(),0,1,1
7b080327161503abd420d94cedd20ca1ec89005c,6,uservm::lib::vm_output::send(),30,31,31
7b080327161503abd420d94cedd20ca1ec89005c,7,uservm::io_thread::system_vm::write(),11,12,12
7b080327161503abd420d94cedd20ca1ec89005c,8,linuxd::worker_thread::handle_write_request(),25,27,27
7b080327161503abd420d94cedd20ca1ec89005c,9,nanvix-bench::read_exact(),25,27,28
7b080327161503abd420d94cedd20ca1ec89005c,10,Total,400,404,406
dcc01b30003ddd20328dd5b965ea219d3322719d,0,nanvix-bench::write_all(),,,
dcc01b30003ddd20328dd5b965ea219d3322719d,1,linuxd::worker_thread::handle_read_request(),182,190,193
dcc01b30003ddd20328dd5b965ea219d3322719d,2,uservm::io_thread::system_vm::read(),13,13,15
dcc01b30003ddd20328dd5b965ea219d3322719d,3,uservm::memory_thread::data_rx::recv(),2,2,3
dcc01b30003ddd20328dd5b965ea219d3322719d,4,uservm::lib::vm_input::vmexit(),112,115,116
dcc01b30003ddd20328dd5b965ea219d3322719d,5,uservm::lib::vm_input::vm_write_bytes(),0,1,1
dcc01b30003ddd20328dd5b965ea219d3322719d,6,uservm::lib::vm_output::send(),31,36,37
dcc01b30003ddd20328dd5b965ea219d3322719d,7,uservm::io_thread::system_vm::write(),11,12,13
dcc01b30003ddd20328dd5b965ea219d3322719d,8,linuxd::worker_thread::handle_write_request(),26,30,32
dcc01b30003ddd20328dd5b965ea219d3322719d,9,nanvix-bench::read_exact(),24,27,28
dcc01b30003ddd20328dd5b965ea219d3322719d,10,Total,400,408,413
98092765d3ec0d06e7b703c4a2ef4aa903506f09,0,nanvix-bench::write_all(),,,
98092765d3ec0d06e7b703c4a2ef4aa903506f09,1,linuxd::worker_thread::handle_read_request(),183,192,193
98092765d3ec0d06e7b703c4a2ef4aa903506f09,2,uservm::io_thread::system_vm::read(),12,13,14
98092765d3ec0d06e7b703c4a2ef4aa903506f09,3,uservm::memory_thread::data_rx::recv(),2,3,3
98092765d3ec0d06e7b703c4a2ef4aa903506f09,4,uservm::lib::vm_input::vmexit(),113,116,117
